category,block,english,spanish,pronunciation,difficulty,notes
first-date,1,You look beautiful tonight,Estás muy guapa esta noche,es-TAS mwee GWA-pa ES-ta NO-che,beginner,Use guapo for men
first-date,1,Do you want to dance with me,Quieres bailar conmigo,KYEH-res bai-LAR kon-MEE-go,beginner,
first-date,1,I love your smile,Me encanta tu sonrisa,meh en-KAN-ta too son-REE-sa,beginner,
first-date,1,Can I buy you a drink,Puedo invitarte una copa,PWEH-do een-vee-TAR-teh OO-na KO-pa,beginner,
first-date,1,What is your name,Cómo te llamas,KO-mo teh YA-mas,beginner,
first-date,1,Nice to meet you,Mucho gusto,MOO-cho GOOS-to,beginner,
first-date,1,Where are you from,De dónde eres,deh DON-deh EH-res,beginner,
first-date,1,I am having a great time,La estoy pasando muy bien,la es-TOY pa-SAN-do mwee byen,beginner,
first-date,1,Can I see you again,Puedo verte otra vez,PWEH-do VER-teh O-tra vess,beginner,
first-date,1,You are very interesting,Eres muy interesante,EH-res mwee een-teh-reh-SAN-teh,beginner,
first-date,2,What do you do for work,A qué te dedicas,a keh teh deh-DEE-kas,beginner,
first-date,2,Your eyes are captivating,Tus ojos son cautivadores,toos OH-hos son kau-tee-va-DO-res,intermediate,
first-date,2,I feel comfortable with you,Me siento cómodo contigo,meh SYEN-to KO-mo-do kon-TEE-go,intermediate,Use cómoda if female
first-date,2,Can I hold your hand,Puedo tomarte de la mano,PWEH-do to-MAR-teh deh la MA-no,beginner,
first-date,2,You make me nervous,Me pones nervioso,meh PO-nes ner-VYO-so,beginner,Use nerviosa if female
first-date,2,I really like you,Me gustas mucho,meh GOOS-tas MOO-cho,beginner,
first-date,2,The night is still young,La noche es joven,la NO-cheh es HO-ven,beginner,
first-date,2,You are exactly my type,Eres exactamente mi tipo,EH-res ek-sak-ta-MEN-teh mee TEE-po,intermediate,
first-date,2,Can I get your number,Me das tu número,meh das too NOO-meh-ro,beginner,
first-date,2,I feel a connection,Siento una conexión,SYEN-to OO-na ko-nek-SYON,intermediate,
first-date,3,I cannot stop looking at you,No puedo dejar de mirarte,no PWEH-do deh-HAR deh mee-RAR-teh,intermediate,
first-date,3,You are stunning,Eres deslumbrante,EH-res des-loom-BRAN-teh,intermediate,
first-date,3,What is your dream vacation,Cuál es tu viaje de ensueño,kwal es too vya-HEH deh en-SWEH-nyo,intermediate,
first-date,3,I love your voice,Me encanta tu voz,meh en-KAN-ta too voss,beginner,
first-date,3,You seem really genuine,Pareces muy auténtica,pa-REH-ses mwee au-TEN-tee-ka,intermediate,Use auténtico for men
first-date,3,I am glad I met you,Me alegro de haberte conocido,meh a-LEH-gro deh a-BER-teh ko-no-SEE-do,intermediate,
first-date,3,Do you like to travel,Te gusta viajar,teh GOOS-ta vya-HAR,beginner,
first-date,3,You are so easy to talk to,Es muy fácil hablar contigo,es mwee FA-seel a-BLAR kon-TEE-go,intermediate,
first-date,3,I love your sense of humor,Me encanta tu sentido del humor,meh en-KAN-ta too sen-TEE-do del oo-MOR,intermediate,
first-date,3,You make me smile,Me haces sonreír,meh A-ses son-reh-EER,beginner,
first-date,4,Can I see you tomorrow,Puedo verte mañana,PWEH-do VER-teh ma-NYA-na,beginner,
first-date,4,You are perfect,Eres perfecta,EH-res per-FEK-ta,beginner,Use perfecto for men
first-date,4,I am having the best time,La estoy pasando increíble,la es-TOY pa-SAN-do een-kreh-EE-bleh,beginner,
first-date,4,You are so sweet,Eres muy dulce,EH-res mwee DOOL-seh,beginner,
first-date,4,I think we have chemistry,Creo que tenemos química,KREH-o keh teh-NEH-mos KEE-mee-ka,intermediate,
first-date,4,Can I kiss you,Puedo besarte,PWEH-do beh-SAR-teh,beginner,
first-date,4,You are incredible,Eres increíble,EH-res een-kreh-EE-bleh,beginner,
first-date,4,There is something special about you,Hay algo especial en ti,ai AL-go es-peh-SYAL en tee,intermediate,
first-date,4,Your photos do not do you justice,Tus fotos no te hacen justicia,toos FO-tos no teh A-sen hoos-TEE-sya,intermediate,
first-date,4,You are even more beautiful in person,Eres aún más hermosa en persona,EH-res a-OON mas er-MO-sa en per-SO-na,intermediate,
first-date,5,I love your outfit,Me encanta tu atuendo,meh en-KAN-ta too a-TWEN-do,beginner,
first-date,5,I am really attracted to you,Me atraes mucho,meh a-TRA-es MOO-cho,intermediate,
first-date,5,Do you want to go somewhere quieter,Quieres ir a un lugar más tranquilo,KYEH-res eer a oon loo-GAR mas tran-KEE-lo,intermediate,
first-date,5,I love spending time with you,Me encanta pasar tiempo contigo,meh en-KAN-ta pa-SAR TYEM-po kon-TEE-go,intermediate,
first-date,5,You are so elegant,Eres muy elegante,EH-res mwee eh-leh-GAN-teh,beginner,
first-date,5,I think you are amazing,Creo que eres increíble,KREH-o keh EH-res een-kreh-EE-bleh,beginner,
first-date,5,You are so confident,Eres muy segura de ti misma,EH-res mwee seh-GOO-ra deh tee MEES-ma,intermediate,Use seguro for men
first-date,5,I could talk to you all night,Podría hablar contigo toda la noche,po-DREE-a a-BLAR kon-TEE-go TO-da la NO-cheh,intermediate,
first-date,5,This is the best date I have had,Esta es la mejor cita que he tenido,ES-ta es la meh-HOR SEE-ta keh eh teh-NEE-do,intermediate,
first-date,5,I cannot wait to see you again,No puedo esperar para verte otra vez,no PWEH-do es-peh-RAR PA-ra VER-teh O-tra vess,intermediate,
compliments,1,You have beautiful eyes,Tienes unos ojos preciosos,TYEH-nes OO-nos OH-hos preh-SYO-sos,beginner,
compliments,1,You are incredible,Eres increíble,EH-res een-kreh-EE-bleh,beginner,
compliments,1,You fascinate me,Me fascinas,meh fa-SEE-nas,beginner,
compliments,1,Your smile lights up the room,Tu sonrisa ilumina el lugar,too son-REE-sa ee-loo-MEE-na el loo-GAR,intermediate,
compliments,1,You are so intelligent,Eres muy inteligente,EH-res mwee een-teh-lee-HEN-teh,beginner,
compliments,1,I love your laugh,Me encanta tu risa,meh en-KAN-ta too REE-sa,beginner,
compliments,1,You are so talented,Eres muy talentosa,EH-res mwee ta-len-TO-sa,beginner,Use talentoso for men
compliments,1,You have great taste,Tienes muy buen gusto,TYEH-nes mwee bwen GOOS-to,beginner,
compliments,1,You are very creative,Eres muy creativa,EH-res mwee kreh-a-TEE-va,beginner,Use creativo for men
compliments,1,I admire your confidence,Admiro tu confianza,ad-MEE-ro too kon-FYAN-sa,intermediate,
compliments,2,You have a beautiful soul,Tienes un alma hermosa,TYEH-nes oon AL-ma er-MO-sa,intermediate,
compliments,2,You are so kind,Eres muy amable,EH-res mwee a-MA-bleh,beginner,
compliments,2,Your voice is beautiful,Tu voz es hermosa,too voss es er-MO-sa,beginner,
compliments,2,You are so thoughtful,Eres muy considerada,EH-res mwee kon-see-deh-RA-da,intermediate,Use considerado for men
compliments,2,I love your style,Me encanta tu estilo,meh en-KAN-ta too es-TEE-lo,beginner,
compliments,2,You have such grace,Tienes mucha gracia,TYEH-nes MOO-cha GRA-sya,beginner,
compliments,2,You are so genuine,Eres muy genuina,EH-res mwee heh-noo-EE-na,intermediate,Use genuino for men
compliments,2,Your passion is inspiring,Tu pasión es inspiradora,too pa-SYON es een-spee-ra-DO-ra,intermediate,
compliments,2,You are so strong,Eres muy fuerte,EH-res mwee FWER-teh,beginner,
compliments,2,I love your perspective,Me encanta tu perspectiva,meh en-KAN-ta too pers-pek-TEE-va,intermediate,
compliments,3,You are so elegant,Eres muy elegante,EH-res mwee eh-leh-GAN-teh,beginner,
compliments,3,I love your hair,Me encanta tu cabello,meh en-KAN-ta too ka-BEH-yo,beginner,
compliments,3,You have a magnetic personality,Tienes una personalidad magnética,TYEH-nes OO-na per-so-na-lee-DAD mag-NEH-tee-ka,intermediate,
compliments,3,You are so positive,Eres muy positiva,EH-res mwee po-see-TEE-va,beginner,Use positivo for men
compliments,3,You have beautiful curves,Tienes unas curvas hermosas,TYEH-nes OO-nas KOOR-vas er-MO-sas,beginner,
compliments,3,Your skin is perfect,Tienes una piel perfecta,TYEH-nes OO-na pyel per-FEK-ta,beginner,
compliments,3,You are so sophisticated,Eres muy sofisticada,EH-res mwee so-fees-tee-KA-da,intermediate,Use sofisticado for men
compliments,3,You smell amazing,Hueles increíble,WEH-les een-kreh-EE-bleh,beginner,
compliments,3,You have a great figure,Tienes una figura increíble,TYEH-nes OO-na fee-GOO-ra een-kreh-EE-bleh,beginner,
compliments,3,You are so natural,Eres muy natural,EH-res mwee na-too-RAL,beginner,
compliments,4,You look amazing today,Te ves increíble hoy,teh ves een-kreh-EE-bleh oy,beginner,
compliments,4,That color looks great on you,Ese color te queda muy bien,EH-seh ko-LOR teh KEH-da mwee byen,beginner,
compliments,4,You always look perfect,Siempre te ves perfecta,SYEM-preh teh ves per-FEK-ta,beginner,Use perfecto for men
compliments,4,You have great fashion sense,Tienes un gran sentido de la moda,TYEH-nes oon gran sen-TEE-do deh la MO-da,intermediate,
compliments,4,You make that outfit look amazing,Haces que ese atuendo se vea increíble,A-ses keh EH-seh a-TWEN-do seh VEH-a een-kreh-EE-bleh,intermediate,
compliments,4,You are always so put together,Siempre estás muy bien arreglada,SYEM-preh es-TAS mwee byen a-rreh-GLA-da,intermediate,Use arreglado for men
compliments,4,You have impeccable style,Tienes un estilo impecable,TYEH-nes oon es-TEE-lo eem-peh-KA-bleh,intermediate,
compliments,4,You could be a model,Podrías ser modelo,po-DREE-as ser mo-DEH-lo,beginner,
compliments,4,You photograph beautifully,Sales muy bien en fotos,SA-les mwee byen en FO-tos,beginner,
compliments,4,You are photogenic,Eres fotogénica,EH-res fo-to-HEH-nee-ka,beginner,Use fotogénico for men
compliments,5,You are a natural beauty,Eres una belleza natural,EH-res OO-na beh-YEH-sa na-too-RAL,beginner,
compliments,5,You do not need makeup,No necesitas maquillaje,no neh-seh-SEE-tas ma-kee-YA-heh,beginner,
compliments,5,You look like an angel,Pareces un ángel,pa-REH-ses oon AN-hel,beginner,
compliments,5,You are absolutely radiant,Estás absolutamente radiante,es-TAS ab-so-loo-ta-MEN-teh ra-DYAN-teh,intermediate,
compliments,5,You glow,Brillas,BREE-yas,beginner,
compliments,5,You take my breath away,Me dejas sin aliento,meh DEH-has seen a-LYEN-to,intermediate,
compliments,5,You are breathtaking,Eres impresionante,EH-res eem-preh-syo-NAN-teh,beginner,
compliments,5,You are unforgettable,Eres inolvidable,EH-res ee-nol-vee-DA-bleh,intermediate,
compliments,5,You are one of a kind,Eres única,EH-res OO-nee-ka,beginner,Use único for men
compliments,5,You are extraordinary,Eres extraordinaria,EH-res eks-tra-or-dee-NA-rya,intermediate,Use extraordinario for men
food-drinks,1,What would you like to drink,Qué te gustaría tomar,keh teh goos-ta-REE-a to-MAR,beginner,
food-drinks,1,This is delicious,Esto está delicioso,ES-to es-TA deh-lee-SYO-so,beginner,
food-drinks,1,Want to try mine,Quieres probar el mío,KYEH-res pro-BAR el MEE-o,beginner,
food-drinks,1,What do you recommend,Qué me recomiendas,keh meh reh-ko-MYEN-das,beginner,
food-drinks,1,I am buying,Yo invito,yo een-VEE-to,beginner,
food-drinks,1,Cheers,Salud,sa-LOOD,beginner,
food-drinks,1,This place has great food,Este lugar tiene muy buena comida,ES-teh loo-GAR TYEH-neh mwee BWEH-na ko-MEE-da,beginner,
food-drinks,1,Do you like spicy food,Te gusta la comida picante,teh GOOS-ta la ko-MEE-da pee-KAN-teh,beginner,
food-drinks,1,What is your favorite dish,Cuál es tu platillo favorito,kwal es too pla-TEE-yo fa-vo-REE-to,beginner,
food-drinks,1,Should we share,Compartimos,kom-par-TEE-mos,beginner,
food-drinks,2,This tastes amazing,Esto sabe increíble,ES-to SA-beh een-kreh-EE-bleh,beginner,
food-drinks,2,Do you want dessert,Quieres postre,KYEH-res POS-treh,beginner,
food-drinks,2,I love this restaurant,Me encanta este restaurante,meh en-KAN-ta ES-teh res-tau-RAN-teh,beginner,
food-drinks,2,Another round,Otra ronda,O-tra RON-da,beginner,
food-drinks,2,The food here is incredible,La comida aquí es increíble,la ko-MEE-da a-KEE es een-kreh-EE-bleh,beginner,
food-drinks,2,Do you cook,Cocinas,ko-SEE-nas,beginner,
food-drinks,2,This drink is strong,Esta bebida está fuerte,ES-ta beh-BEE-da es-TA FWER-teh,beginner,
food-drinks,2,I am getting hungry,Me está dando hambre,meh es-TA DAN-do AM-breh,beginner,
food-drinks,2,What is your go-to order,Qué sueles pedir,keh SWEH-les peh-DEER,beginner,
food-drinks,2,This is my treat,Esto es mi invitación,ES-to es mee een-vee-ta-SYON,beginner,
food-drinks,3,Have you been here before,Has venido aquí antes,as veh-NEE-do a-KEE AN-tes,beginner,
food-drinks,3,I love the atmosphere here,Me encanta el ambiente aquí,meh en-KAN-ta el am-BYEN-teh a-KEE,beginner,
food-drinks,3,What is your drink of choice,Cuál es tu bebida favorita,kwal es too beh-BEE-da fa-vo-REE-ta,beginner,
food-drinks,3,This is so good,Esto está tan bueno,ES-to es-TA tan BWEH-no,beginner,
food-drinks,3,Do you like wine,Te gusta el vino,teh GOOS-ta el VEE-no,beginner,
food-drinks,3,What are you in the mood for,De qué tienes ganas,deh keh TYEH-nes GA-nas,beginner,
food-drinks,3,This is perfectly cooked,Esto está perfectamente cocinado,ES-to es-TA per-fek-ta-MEN-teh ko-see-NA-do,intermediate,
food-drinks,3,Should we order appetizers,Pedimos entradas,peh-DEE-mos en-TRA-das,beginner,
food-drinks,3,I am stuffed,Estoy lleno,es-TOY YEH-no,beginner,Use llena if female
food-drinks,3,Do you like seafood,Te gustan los mariscos,teh GOOS-tan los ma-REES-kos,beginner,
food-drinks,4,What is your favorite restaurant,Cuál es tu restaurante favorito,kwal es too res-tau-RAN-teh fa-vo-REE-to,beginner,
food-drinks,4,I could eat this every day,Podría comer esto todos los días,po-DREE-a ko-MER ES-to TO-dos los DEE-as,beginner,
food-drinks,4,Do you prefer beer or cocktails,Prefieres cerveza o cocteles,preh-FYEH-res ser-VEH-sa o kok-TEH-les,beginner,
food-drinks,4,This is worth every penny,Esto vale cada centavo,ES-to VA-leh KA-da sen-TA-vo,intermediate,
food-drinks,4,Should we get another bottle,Pedimos otra botella,peh-DEE-mos O-tra bo-TEH-ya,beginner,
food-drinks,4,I love trying new foods,Me encanta probar comidas nuevas,meh en-KAN-ta pro-BAR ko-MEE-das NWEH-vas,beginner,
food-drinks,4,This pairs well with wine,Esto combina bien con vino,ES-to kom-BEE-na byen kon VEE-no,intermediate,
food-drinks,4,This is authentic,Esto es auténtico,ES-to es au-TEN-tee-ko,beginner,
food-drinks,4,This is the best I have had,Este es el mejor que he probado,ES-teh es el meh-HOR keh eh pro-BA-do,beginner,
food-drinks,4,I am addicted to this,Soy adicto a esto,soy a-DEEK-to a ES-to,beginner,Use adicta if female
food-drinks,5,Do you have a sweet tooth,Te gustan los dulces,teh GOOS-tan los DOOL-ses,beginner,
food-drinks,5,This reminds me of home,Esto me recuerda a casa,ES-to meh reh-KWER-da a KA-sa,beginner,
food-drinks,5,This is so fresh,Esto está muy fresco,ES-to es-TA mwee FRES-ko,beginner,
food-drinks,5,Do you like it rare or well done,Te gusta poco cocido o bien cocido,teh GOOS-ta PO-ko ko-SEE-do o byen ko-SEE-do,intermediate,
food-drinks,5,This is a perfect combination,Esta es una combinación perfecta,ES-ta es OO-na kom-bee-na-SYON per-FEK-ta,intermediate,
food-drinks,5,I love street food,Me encanta la comida callejera,meh en-KAN-ta la ko-MEE-da ka-yeh-HEH-ra,beginner,
food-drinks,5,This is worth the calories,Esto vale las calorías,ES-to VA-leh las ka-lo-REE-as,beginner,
food-drinks,5,Do you like brunch,Te gusta el brunch,teh GOOS-ta el brunch,beginner,
food-drinks,5,This has so much flavor,Esto tiene mucho sabor,ES-to TYEH-neh MOO-cho sa-BOR,beginner,
food-drinks,5,We should come back here,Deberíamos volver aquí,deh-beh-REE-a-mos vol-VER a-KEE,beginner,
meeting-family,1,Nice to meet you,Encantado de conocerle,en-kan-TA-do deh ko-no-SER-leh,beginner,Use Encantada if female; formal
meeting-family,1,You have a beautiful family,Tiene una familia hermosa,TYEH-neh OO-na fa-MEE-lya er-MO-sa,beginner,Formal
meeting-family,1,Thank you for having me,Gracias por recibirme,GRA-syas por reh-see-BEER-meh,beginner,
meeting-family,1,Your home is lovely,Su casa es hermosa,soo KA-sa es er-MO-sa,beginner,Formal
meeting-family,1,This food is delicious,Esta comida está deliciosa,ES-ta ko-MEE-da es-TA deh-lee-SYO-sa,beginner,
meeting-family,1,Thank you for the invitation,Gracias por la invitación,GRA-syas por la een-vee-ta-SYON,beginner,
meeting-family,1,I am honored to be here,Es un honor estar aquí,es oon o-NOR es-TAR a-KEE,intermediate,
meeting-family,1,She is wonderful,Ella es maravillosa,EH-ya es ma-ra-vee-YO-sa,beginner,Use Él for men
meeting-family,1,I have heard so much about you,He oído hablar mucho de usted,eh o-EE-do a-BLAR MOO-cho deh oos-TED,intermediate,Formal
meeting-family,1,It is a pleasure to meet you,Es un placer conocerle,es oon pla-SER ko-no-SER-leh,beginner,Formal
